2000,6,65.02,3.436011,0.000399
2000,6,65.93,3.507938,0.000420
2000,6,66.85,3.448236,0.000407
2000,6,64.01,3.447372,0.000406
2000,6,65.02,3.437033,0.000411
3000,6,60.90,4.925091,0.000462
3000,6,66.94,4.714274,0.000460
3000,6,62.64,4.955487,0.000462
3000,6,65.66,4.899072,0.000457
3000,6,64.47,4.655064,0.000457
4000,6,63.83,5.640337,0.000517
4000,6,63.74,5.395580,0.000518
4000,6,67.31,5.624549,0.000528
4000,6,62.73,5.591994,0.000519
4000,6,65.57,5.476981,0.000514
5000,6,62.00,6.158785,0.000573
5000,6,67.03,5.927310,0.000576
5000,6,65.20,6.122427,0.000583
5000,6,65.57,6.041906,0.000570
5000,6,66.12,6.245451,0.000588
6000,6,64.56,6.951369,0.000651
6000,6,64.84,6.836549,0.000649
6000,6,64.93,7.278868,0.000654
6000,6,61.63,7.258684,0.000665
6000,6,65.57,7.165246,0.000658
7000,6,64.93,7.881122,0.000705
7000,6,64.47,7.498189,0.000709
7000,6,65.11,7.701944,0.000717
7000,6,65.57,7.885767,0.000704
7000,6,63.55,7.522740,0.000716
8000,6,67.40,8.002372,0.000766
8000,6,65.02,8.203034,0.000762
8000,6,67.58,8.316538,0.000742
8000,6,66.21,8.346030,0.000750
8000,6,64.01,7.927031,0.000740
9000,6,66.94,8.588200,0.000805
9000,6,64.19,8.948810,0.000817
9000,6,64.93,9.105490,0.000832
9000,6,62.18,8.659245,0.000815
9000,6,66.94,8.610055,0.000816
10000,6,66.03,9.300563,0.000867
10000,6,65.29,9.323833,0.000860
10000,6,64.10,9.672676,0.000859
10000,6,64.29,9.677326,0.000858
10000,6,65.48,9.648513,0.000858
1000,7,49.27,2.199423,0.000334
1000,7,50.55,2.171448,0.000330
1000,7,52.29,2.180818,0.000327
1000,7,50.64,2.156479,0.000333
1000,7,54.95,2.208498,0.000334
2000,7,52.93,3.526488,0.000413
2000,7,54.21,3.418810,0.000403
2000,7,53.48,3.377057,0.000398
2000,7,58.06,3.551120,0.000401
2000,7,54.30,3.453355,0.000403
3000,7,57.88,4.896611,0.000462
3000,7,57.78,5.007270,0.000477
3000,7,54.85,4.607433,0.000468
3000,7,56.96,4.864395,0.000471
3000,7,56.59,4.836005,0.000475
4000,7,55.68,5.847081,0.000536
4000,7,57.97,5.567196,0.000519
4000,7,53.21,5.566766,0.000514
4000,7,57.51,5.573222,0.000520
